title,link,description,date,source
"Accused of false imprisonment and defamation, a teacher fights back - Myrtle Beach Sun News",https://www.myrtlebeachonline.com/news/local/education/article150852877.html," href=""https://www.myrtlebeachonline.com/news/local/education/article150852877.html"" target=""_blank"">Accused of false imprisonment and defamation, a teacher fights back</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Myrtle Beach Sun News</font",2017-05-16 07:00:00+00:00,Myrtle Beach Sun News
Meryl Streep Attacks Karl Lagerfeld Over Oscar Dress Controversy - TIME,https://time.com/4683081/meryl-streep-karl-lagerfeld-chanel-oscars-dress/," href=""https://time.com/4683081/meryl-streep-karl-lagerfeld-chanel-oscars-dress/"" target=""_blank"">Meryl Streep Attacks Karl Lagerfeld Over Oscar Dress Controversy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TIME</font",2017-02-26 08:00:00+00:00,TIME
Defamation Proposal Alarms Kosovo Rights Groups - Balkan Insight,https://balkaninsight.com/2017/04/28/defamation-proposal-draft-law-sparks-reactions-in-kosovo-04-27-2017/," href=""https://balkaninsight.com/2017/04/28/defamation-proposal-draft-law-sparks-reactions-in-kosovo-04-27-2017/"" target=""_blank"">Defamation Proposal Alarms Kosovo Rights Groups</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Balkan Insight</font",2017-04-28 07:00:00+00:00,Balkan Insight
Court verdict won by doctor upheld - Houston Chronicle,https://www.houstonchronicle.com/business/article/Judge-orders-Memorial-Hermann-to-pay-6-3-million-11141995.php," href=""https://www.houstonchronicle.com/business/article/Judge-orders-Memorial-Hermann-to-pay-6-3-million-11141995.php"" target=""_blank"">Court verdict won by doctor upheld</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Houston Chronicle</font",2017-05-12 07:00:00+00:00,Houston Chronicle
Ministry Head Says Bloggers Defamed Him - Courthouse News Service,https://www.courthousenews.com/ministry-head-says-bloggers-defamed/," href=""https://www.courthousenews.com/ministry-head-says-bloggers-defamed/"" target=""_blank"">Ministry Head Says Bloggers Defamed Him</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Courthouse News Service</font",2017-04-20 21:50:04+00:00,Courthouse News Service
Mongolian media goes dark to protest press freedom threat - Reuters,https://www.reuters.com/article/us-mongolia-politics-idUSKBN17T0G8," href=""https://www.reuters.com/article/us-mongolia-politics-idUSKBN17T0G8"" target=""_blank"">Mongolian media goes dark to protest press freedom threat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2017-04-26 07:00:00+00:00,Reuters
Trump to light White House blue to support police who face ‘unfair defamation and vilification’ - The Washington Post,https://www.washingtonpost.com/news/post-politics/wp/2017/05/15/trump-to-light-white-house-blue-to-support-police-who-face-unfair-defamation-and-vilification/," href=""https://www.washingtonpost.com/news/post-politics/wp/2017/05/15/trump-to-light-white-house-blue-to-support-police-who-face-unfair-defamation-and-vilification/"" target=""_blank"">Trump to light White House blue to support police who face ‘unfair defamation and vilification’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font",2017-05-15 07:00:00+00:00,The Washington Post
DDCA: Court rejects Azad's discharge plea in defamation case - Outlook India,https://www.outlookindia.com/newsscroll/ddca-court-rejects-azads-discharge-plea-in-defamation-case/994752," href=""https://www.outlookindia.com/newsscroll/ddca-court-rejects-azads-discharge-plea-in-defamation-case/994752"" target=""_blank"">DDCA: Court rejects Azad's discharge plea in defamation case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2017-02-23 08:00:00+00:00,Outlook India
"Man falsely accused of stealing €2 pastry from Centra awarded €20,000 - Irish Independent",https://www.independent.ie/irish-news/courts/man-falsely-accused-of-stealing-2-pastry-from-centra-awarded-20000-35571978.html," href=""https://www.independent.ie/irish-news/courts/man-falsely-accused-of-stealing-2-pastry-from-centra-awarded-20000-35571978.html"" target=""_blank"">Man falsely accused of stealing €2 pastry from Centra awarded €20,000</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Irish Independent</font",2017-03-28 07:00:00+00:00,Irish Independent
Chechnya accused of 'gay genocide' in ICC complaint - BBC News,https://www.bbc.com/news/world-europe-39937107," href=""https://www.bbc.com/news/world-europe-39937107"" target=""_blank"">Chechnya accused of 'gay genocide' in ICC complaint</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC News</font",2017-05-16 07:00:00+00:00,BBC News
CBS seeks dismissal of $750M defamation suit brought by Burke Ramsey - The Denver Post,https://www.denverpost.com/2017/03/10/cbs-seeks-dismissal-burke-ramsey-suit/," href=""https://www.denverpost.com/2017/03/10/cbs-seeks-dismissal-burke-ramsey-suit/"" target=""_blank"">CBS seeks dismissal of $750M defamation suit brought by Burke Ramsey</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Denver Post</font",2017-03-10 08:00:00+00:00,The Denver Post
"Woman fined $500,000 for false Facebook accusation about former friend - Telegraph.co.uk",https://www.telegraph.co.uk/technology/2017/03/31/woman-fined-500000-false-facebook-accusation-former-friend/," href=""https://www.telegraph.co.uk/technology/2017/03/31/woman-fined-500000-false-facebook-accusation-former-friend/"" target=""_blank"">Woman fined $500,000 for false Facebook accusation about former friend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph.co.uk</font",2017-03-31 07:00:00+00:00,Telegraph.co.uk
Lloyd Rayney defamation trial: Sergeant defends how WA Police handled barrister's arrest - ABC Online,https://www.abc.net.au/news/2017-03-23/lloyd-rayney-defamation-trial-officer-defends-police-arrest/8381008," href=""https://www.abc.net.au/news/2017-03-23/lloyd-rayney-defamation-trial-officer-defends-police-arrest/8381008"" target=""_blank"">Lloyd Rayney defamation trial: Sergeant defends how WA Police handled barrister's arrest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC Online</font",2017-03-23 07:00:00+00:00,ABC Online
Govinda-Shilpa Shetty defamation case: Actress to appear in court on 18 April - Firstpost,https://www.firstpost.com/entertainment/govinda-shilpa-shetty-defamation-case-actress-to-appear-in-court-on-18-april-3355732.html," href=""https://www.firstpost.com/entertainment/govinda-shilpa-shetty-defamation-case-actress-to-appear-in-court-on-18-april-3355732.html"" target=""_blank"">Govinda-Shilpa Shetty defamation case: Actress to appear in court on 18 April</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2017-03-28 07:00:00+00:00,Firstpost
Arvind Kejriwal Put On Trial In Arun Jaitley Defamation Case By Delhi Court - Huffington Post India,https://www.huffingtonpost.in/2017/03/25/arvind-kejriwal-put-on-trial-in-arun-jaitley-defamation-case-by_a_22011361/," href=""https://www.huffingtonpost.in/2017/03/25/arvind-kejriwal-put-on-trial-in-arun-jaitley-defamation-case-by_a_22011361/"" target=""_blank"">Arvind Kejriwal Put On Trial In Arun Jaitley Defamation Case By Delhi Court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Huffington Post India</font",2017-03-25 07:00:00+00:00,Huffington Post India
