title,link,description,date,source
"In Egypt, atheists considered a 'dangerous development' - USA TODAY",https://www.usatoday.com/story/news/world/2015/02/01/egypt-atheists/22038645/," href=""https://www.usatoday.com/story/news/world/2015/02/01/egypt-atheists/22038645/"" target=""_blank"">In Egypt, atheists considered a 'dangerous development'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">USA TODAY</font",2015-02-01 08:00:00+00:00,USA TODAY
Judge denies request to split Judkins lawsuit against Richmond auditor - Richmond.com,https://richmond.com/news/local/judge-denies-request-to-split-judkins-lawsuit-against-richmond-auditor/article_fdc0c039-e214-5de3-8deb-55a416672095.html," href=""https://richmond.com/news/local/judge-denies-request-to-split-judkins-lawsuit-against-richmond-auditor/article_fdc0c039-e214-5de3-8deb-55a416672095.html"" target=""_blank"">Judge denies request to split Judkins lawsuit against Richmond auditor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Richmond.com</font",2014-12-17 08:00:00+00:00,Richmond.com
Pilar Sanders Jailed For Contempt In Child Custody Case - CBS Local,https://dfw.cbslocal.com/2014/12/16/pilar-sanders-arrested-for-contempt-in-child-custody-case/," href=""https://dfw.cbslocal.com/2014/12/16/pilar-sanders-arrested-for-contempt-in-child-custody-case/"" target=""_blank"">Pilar Sanders Jailed For Contempt In Child Custody Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS Local</font",2014-12-16 08:00:00+00:00,CBS Local
Oak Bay MLA Andrew Weaver wins defamation suit against National Post - Prince George Citizen,https://www.princegeorgecitizen.com/news/local-news/oak-bay-mla-andrew-weaver-wins-defamation-suit-against-national-post-1.1755767," href=""https://www.princegeorgecitizen.com/news/local-news/oak-bay-mla-andrew-weaver-wins-defamation-suit-against-national-post-1.1755767"" target=""_blank"">Oak Bay MLA Andrew Weaver wins defamation suit against National Post</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prince George Citizen</font",2015-02-06 08:00:00+00:00,Prince George Citizen
"Card counter sues Planet Hollywood over detention, confiscated casino chips - Las Vegas Review-Journal",https://www.reviewjournal.com/local/local-las-vegas/card-counter-sues-planet-hollywood-over-detention-confiscated-casino-chips/," href=""https://www.reviewjournal.com/local/local-las-vegas/card-counter-sues-planet-hollywood-over-detention-confiscated-casino-chips/"" target=""_blank"">Card counter sues Planet Hollywood over detention, confiscated casino chips</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Las Vegas Review-Journal</font",2015-01-08 08:00:00+00:00,Las Vegas Review-Journal
Analysis: Thailand's Political Crisis Could Hinge on Who's in the Palace - NBCNews.com,https://www.nbcnews.com/storyline/2014-year-in-review/analysis-thailands-political-crisis-could-hinge-whos-palace-n270901," href=""https://www.nbcnews.com/storyline/2014-year-in-review/analysis-thailands-political-crisis-could-hinge-whos-palace-n270901"" target=""_blank"">Analysis: Thailand's Political Crisis Could Hinge on Who's in the Palace</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBCNews.com</font",2014-12-31 08:00:00+00:00,NBCNews.com
CBI arrests IOB union president for job scam - The Hindu,https://www.thehindu.com/news/national/tamil-nadu/cbi-arrests-iob-union-president-for-job-scam/article6664597.ece," href=""https://www.thehindu.com/news/national/tamil-nadu/cbi-arrests-iob-union-president-for-job-scam/article6664597.ece"" target=""_blank"">CBI arrests IOB union president for job scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2014-12-05 08:00:00+00:00,The Hindu
Fugitive Thai tycoon Nopporn Suppipat claims innocence in graft probe on princess's relatives - The Straits Times,https://www.straitstimes.com/asia/se-asia/fugitive-thai-tycoon-nopporn-suppipat-claims-innocence-in-graft-probe-on-princesss," href=""https://www.straitstimes.com/asia/se-asia/fugitive-thai-tycoon-nopporn-suppipat-claims-innocence-in-graft-probe-on-princesss"" target=""_blank"">Fugitive Thai tycoon Nopporn Suppipat claims innocence in graft probe on princess's relatives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Straits Times</font",2014-12-07 08:00:00+00:00,The Straits Times
"Jesse Ventura's legal expenses reimbursed, but not his son's baggage fees - Minneapolis Star Tribune",https://www.startribune.com/jesse-ventura-s-legal-expenses-reimbursed-but-not-his-son-s-baggage-fees/288620631/," href=""https://www.startribune.com/jesse-ventura-s-legal-expenses-reimbursed-but-not-his-son-s-baggage-fees/288620631/"" target=""_blank"">Jesse Ventura's legal expenses reimbursed, but not his son's baggage fees</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Minneapolis Star Tribune</font",2015-01-14 08:00:00+00:00,Minneapolis Star Tribune
"Package Theft Spree Tracked Through Rented Trailer, Cops Say - ABC News",https://abcnews.go.com/US/package-theft-spree-tracked-rented-trailer-cops/story?id=27368149," href=""https://abcnews.go.com/US/package-theft-spree-tracked-rented-trailer-cops/story?id=27368149"" target=""_blank"">Package Theft Spree Tracked Through Rented Trailer, Cops Say</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font",2014-12-04 08:00:00+00:00,ABC News
Co-op City's suspension of management company may violate state regulations - New York Daily News,https://www.nydailynews.com/new-york/bronx/co-op-city-suspension-management-company-violates-state-article-1.2057748," href=""https://www.nydailynews.com/new-york/bronx/co-op-city-suspension-management-company-violates-state-article-1.2057748"" target=""_blank"">Co-op City's suspension of management company may violate state regulations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Daily News</font",2014-12-28 08:00:00+00:00,New York Daily News
RSF condemns sentence for Macedonian journalist Tomislav Kezarovski | RSF - Reporters without borders,https://rsf.org/en/news/rsf-condemns-sentence-macedonian-journalist-tomislav-kezarovski," href=""https://rsf.org/en/news/rsf-condemns-sentence-macedonian-journalist-tomislav-kezarovski"" target=""_blank"">RSF condemns sentence for Macedonian journalist Tomislav Kezarovski | RSF</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reporters without borders</font",2015-01-16 08:00:00+00:00,Reporters without borders
"Court slaps Rs 3000 cost on Medha Patkar, gives last chance to appear - Economic Times",https://economictimes.indiatimes.com/news/politics-and-nation/court-slaps-rs-3000-cost-on-medha-patkar-gives-last-chance-to-appear/articleshow/45872530.cms," href=""https://economictimes.indiatimes.com/news/politics-and-nation/court-slaps-rs-3000-cost-on-medha-patkar-gives-last-chance-to-appear/articleshow/45872530.cms"" target=""_blank"">Court slaps Rs 3000 cost on Medha Patkar, gives last chance to appear</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Economic Times</font",2015-01-13 08:00:00+00:00,Economic Times
"Chris Kyle's father to Clint Eastwood on 'American Sniper': ‘Disrespect my son, I’ll unleash Hell’ - mySanAntonio.com",https://www.mysanantonio.com/news/local/article/Slain-Texas-Navy-SEAL-s-father-to-movie-5975698.php," href=""https://www.mysanantonio.com/news/local/article/Slain-Texas-Navy-SEAL-s-father-to-movie-5975698.php"" target=""_blank"">Chris Kyle's father to Clint Eastwood on 'American Sniper': ‘Disrespect my son, I’ll unleash Hell’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">mySanAntonio.com</font",2014-12-23 08:00:00+00:00,mySanAntonio.com
Woman arrested for trying to blackmail bank official with obscene video - Firstpost,http://www.firstpost.com/india/woman-arrested-trying-blackmail-bank-official-obscene-video-2049253.html," href=""http://www.firstpost.com/india/woman-arrested-trying-blackmail-bank-official-obscene-video-2049253.html"" target=""_blank"">Woman arrested for trying to blackmail bank official with obscene video</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2015-01-16 08:00:00+00:00,Firstpost
LAX flier Lisa Piasecki arrested after she 'drunkenly attacked flight crew' - Daily Mail,https://www.dailymail.co.uk/news/article-2960286/Police-Drunken-passenger-assaults-airline-staff-airport.html," href=""https://www.dailymail.co.uk/news/article-2960286/Police-Drunken-passenger-assaults-airline-staff-airport.html"" target=""_blank"">LAX flier Lisa Piasecki arrested after she 'drunkenly attacked flight crew'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Mail</font",2015-02-19 08:00:00+00:00,Daily Mail
Chris Kyle's widow appeals Jesse Ventura's successful defamation suit - UPI.com,https://www.upi.com/Top_News/US/2014/12/26/American-Sniper-widow-appeals-Jesse-Venturas-defamation-award/4981419620802/," href=""https://www.upi.com/Top_News/US/2014/12/26/American-Sniper-widow-appeals-Jesse-Venturas-defamation-award/4981419620802/"" target=""_blank"">Chris Kyle's widow appeals Jesse Ventura's successful defamation suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UPI.com</font",2014-12-26 08:00:00+00:00,UPI.com
Plebgate whistleblower: 'Met hierarchy more afraid of upsetting politicians than looking after their own' - Press Gazette,https://www.pressgazette.co.uk/sacked-met-plebgate-source-tells-colleagues-innocence-and-says-public-deserved-know-how-andrew/," href=""https://www.pressgazette.co.uk/sacked-met-plebgate-source-tells-colleagues-innocence-and-says-public-deserved-know-how-andrew/"" target=""_blank"">Plebgate whistleblower: 'Met hierarchy more afraid of upsetting politicians than looking after their own'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Press Gazette</font",2014-12-01 08:00:00+00:00,Press Gazette
"Free To Speak, Free To Blaspheme? Islam And Blasphemy - WBUR",https://www.wbur.org/onpoint/2015/01/15/blasphemy-islam-charlie-hebdo-free-speech," href=""https://www.wbur.org/onpoint/2015/01/15/blasphemy-islam-charlie-hebdo-free-speech"" target=""_blank"">Free To Speak, Free To Blaspheme? Islam And Blasphemy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WBUR</font",2015-01-15 08:00:00+00:00,WBUR
Nine things you probably didn’t know about the Queensland election - The Guardian,https://www.theguardian.com/world/2015/jan/14/-sp-nine-things-you-probably-didnt-know-about-the-queensland-election," href=""https://www.theguardian.com/world/2015/jan/14/-sp-nine-things-you-probably-didnt-know-about-the-queensland-election"" target=""_blank"">Nine things you probably didn’t know about the Queensland election</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font",2015-01-13 08:00:00+00:00,The Guardian
"70 years after the liberation of Auschwitz, we must never forget the Holocaust - New York Daily News",https://www.nydailynews.com/opinion/editorial-forget-holocaust-article-1.2092921," href=""https://www.nydailynews.com/opinion/editorial-forget-holocaust-article-1.2092921"" target=""_blank"">70 years after the liberation of Auschwitz, we must never forget the Holocaust</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Daily News</font",2015-01-27 08:00:00+00:00,New York Daily News
McCanns 'to lose libel action' over claims they faked Madeleine's disappearance - Daily Mail,https://www.dailymail.co.uk/news/article-2925419/Kate-Gerry-McCann-hurt-former-police-chief-s-book-missing-Madeleine-judge-finds.html," href=""https://www.dailymail.co.uk/news/article-2925419/Kate-Gerry-McCann-hurt-former-police-chief-s-book-missing-Madeleine-judge-finds.html"" target=""_blank"">McCanns 'to lose libel action' over claims they faked Madeleine's disappearance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Mail</font",2015-01-25 08:00:00+00:00,Daily Mail
Former Waco day care owner sued in baby’s death - Waco Tribune-Herald,https://wacotrib.com/news/crime/former-waco-day-care-owner-sued-in-baby-s-death/article_0aa83809-c62e-5fd0-8235-42cbabcdac9f.html," href=""https://wacotrib.com/news/crime/former-waco-day-care-owner-sued-in-baby-s-death/article_0aa83809-c62e-5fd0-8235-42cbabcdac9f.html"" target=""_blank"">Former Waco day care owner sued in baby’s death</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Waco Tribune-Herald</font",2015-02-23 08:00:00+00:00,Waco Tribune-Herald
Lohans Likely to Lose Lawsuit Against Fox News Over Cocaine Claim - U.S. News & World Report,https://www.usnews.com/news/articles/2015/02/04/lindsay-lohan-fox-news-lawsuit-cocaine," href=""https://www.usnews.com/news/articles/2015/02/04/lindsay-lohan-fox-news-lawsuit-cocaine"" target=""_blank"">Lohans Likely to Lose Lawsuit Against Fox News Over Cocaine Claim</a>&nbsp;&nbsp;<font color=""#6f6f6f"">U.S. News & World Report</font",2015-02-04 08:00:00+00:00,U.S. News & World Report
Urban Outfitters under fire for tapestry resembling Nazi concentration camp uniform - New York Daily News,https://www.nydailynews.com/news/national/urban-outfitters-tapestry-resembles-nazi-camp-uniform-adl-article-1.2109088," href=""https://www.nydailynews.com/news/national/urban-outfitters-tapestry-resembles-nazi-camp-uniform-adl-article-1.2109088"" target=""_blank"">Urban Outfitters under fire for tapestry resembling Nazi concentration camp uniform</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Daily News</font",2015-02-09 08:00:00+00:00,New York Daily News
Robert Durst not guilty of trespassing on relatives' homes - New York Post,https://nypost.com/2014/12/11/robert-durst-not-guilty-of-trespassing-on-relatives-homes/," href=""https://nypost.com/2014/12/11/robert-durst-not-guilty-of-trespassing-on-relatives-homes/"" target=""_blank"">Robert Durst not guilty of trespassing on relatives' homes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post</font",2014-12-11 08:00:00+00:00,New York Post
