title,link,description,date,source
"Trio convicted of rowdy behaviour, abusing police during Thaipusam procession - Yahoo Singapore News",https://sg.news.yahoo.com/trio-convicted-rowdy-behaviour-abusing-police-thaipusam-procession-073458891.html," href=""https://sg.news.yahoo.com/trio-convicted-rowdy-behaviour-abusing-police-thaipusam-procession-073458891.html"" target=""_blank"">Trio convicted of rowdy behaviour, abusing police during Thaipusam procession</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Singapore News</font",2018-02-01 08:00:00+00:00,Yahoo Singapore News
"After Second Complaint, NCW Team To Speak To Woman 'Sexually Exploited' By Hardik Patel - Outlook India",https://www.outlookindia.com/website/story/after-second-complaint-ncw-team-to-speak-to-woman-sexually-exploited-by-hardik-p/305140," href=""https://www.outlookindia.com/website/story/after-second-complaint-ncw-team-to-speak-to-woman-sexually-exploited-by-hardik-p/305140"" target=""_blank"">After Second Complaint, NCW Team To Speak To Woman 'Sexually Exploited' By Hardik Patel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2017-12-04 08:00:00+00:00,Outlook India
"Be Bold, Uphold Law: IPS Roopa’s Message to Bureaucrats Goes Viral - The Quint",https://www.thequint.com/news/india/ips-roopa-tedx-talk," href=""https://www.thequint.com/news/india/ips-roopa-tedx-talk"" target=""_blank"">Be Bold, Uphold Law: IPS Roopa’s Message to Bureaucrats Goes Viral</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Quint</font",2018-01-15 08:00:00+00:00,The Quint
"Time magazine names #MeToo 'Silence Breakers' person of the year, not Trump - Business Insider - Business Insider",https://www.businessinsider.com/time-magazine-names-metoo-silence-breakers-person-of-the-year-not-trump-2017-12," href=""https://www.businessinsider.com/time-magazine-names-metoo-silence-breakers-person-of-the-year-not-trump-2017-12"" target=""_blank"">Time magazine names #MeToo 'Silence Breakers' person of the year, not Trump - Business Insider</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Insider</font",2017-12-06 08:00:00+00:00,Business Insider
Russian authorities arrest Sochi blogger on extortion charges - CPJ Press Freedom Online,https://cpj.org/2018/01/russian-authorities-arrest-sochi-blogger-on-extort/," href=""https://cpj.org/2018/01/russian-authorities-arrest-sochi-blogger-on-extort/"" target=""_blank"">Russian authorities arrest Sochi blogger on extortion charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CPJ Press Freedom Online</font",2018-01-26 08:00:00+00:00,CPJ Press Freedom Online
Netflix ousts Danny Masterson from The Ranch after rape allegations surface - Firstpost,https://www.firstpost.com/entertainment/netflix-ousts-danny-masterson-from-the-ranch-after-rape-allegations-surface-4244895.html," href=""https://www.firstpost.com/entertainment/netflix-ousts-danny-masterson-from-the-ranch-after-rape-allegations-surface-4244895.html"" target=""_blank"">Netflix ousts Danny Masterson from The Ranch after rape allegations surface</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2017-12-06 08:00:00+00:00,Firstpost
HC issues contempt proceedings against judge - The Hindu,https://www.thehindu.com/news/cities/Delhi/hc-issues-contempt-proceedings-against-judge/article22272456.ece," href=""https://www.thehindu.com/news/cities/Delhi/hc-issues-contempt-proceedings-against-judge/article22272456.ece"" target=""_blank"">HC issues contempt proceedings against judge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2017-12-25 08:00:00+00:00,The Hindu
Accused in cheque bouncing case to pay 20% compensation on institution of complaint - Tilak Marg,https://tilakmarg.com/news/accused-in-cheque-bouncing-case-to-pay-20-compensation-on-institution-of-complaint/," href=""https://tilakmarg.com/news/accused-in-cheque-bouncing-case-to-pay-20-compensation-on-institution-of-complaint/"" target=""_blank"">Accused in cheque bouncing case to pay 20% compensation on institution of complaint</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tilak Marg</font",2018-01-03 08:00:00+00:00,Tilak Marg
Margaret Sanger was a eugenicist. Why are we still celebrating her? - America Magazine,https://www.americamagazine.org/politics-society/2017/11/27/margaret-sanger-was-eugenicist-why-are-we-still-celebrating-her," href=""https://www.americamagazine.org/politics-society/2017/11/27/margaret-sanger-was-eugenicist-why-are-we-still-celebrating-her"" target=""_blank"">Margaret Sanger was a eugenicist. Why are we still celebrating her?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">America Magazine</font",2017-11-27 08:00:00+00:00,America Magazine
High Court refuses to restrain Republic TV and Arnab Goswami on Sunanda Pushkar coverage - Janta Ka Reporter,http://www.jantakareporter.com/india/high-court-refuses-restrain-arnab-goswami/162679/," href=""http://www.jantakareporter.com/india/high-court-refuses-restrain-arnab-goswami/162679/"" target=""_blank"">High Court refuses to restrain Republic TV and Arnab Goswami on Sunanda Pushkar coverage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Janta Ka Reporter</font",2017-12-03 08:00:00+00:00,Janta Ka Reporter
India expects Lanka to keeps its security concerns in mind: MEA - India TV,https://www.indiatvnews.com/news/india-india-expects-lanka-to-keeps-its-security-concerns-in-mind-mea-417036," href=""https://www.indiatvnews.com/news/india-india-expects-lanka-to-keeps-its-security-concerns-in-mind-mea-417036"" target=""_blank"">India expects Lanka to keeps its security concerns in mind: MEA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV</font",2017-12-14 08:00:00+00:00,India TV
Man who impregnated 3 teen sisters sentenced for rape - New York Post ,https://nypost.com/2018/02/09/man-who-impregnated-3-teen-sisters-sentenced-for-rape/," href=""https://nypost.com/2018/02/09/man-who-impregnated-3-teen-sisters-sentenced-for-rape/"" target=""_blank"">Man who impregnated 3 teen sisters sentenced for rape</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post </font",2018-02-09 08:00:00+00:00,New York Post 
"Why women feel let down by Aziz Ansari and male feminists; Or, the Myth of the Nice Guy™ - Firstpost",https://www.firstpost.com/living/why-women-feel-let-down-by-aziz-ansari-and-male-feminists-or-the-myth-of-the-nice-guy-4341549.html," href=""https://www.firstpost.com/living/why-women-feel-let-down-by-aziz-ansari-and-male-feminists-or-the-myth-of-the-nice-guy-4341549.html"" target=""_blank"">Why women feel let down by Aziz Ansari and male feminists; Or, the Myth of the Nice Guy™</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2018-02-08 08:00:00+00:00,Firstpost
"What LIC said on spurious calls, messages on Aadhaar linking - The Times of India",https://timesofindia.indiatimes.com/business/india-business/what-lic-said-on-spurious-calls-messages-on-aadhaar-linking/articleshow/61874598.cms," href=""https://timesofindia.indiatimes.com/business/india-business/what-lic-said-on-spurious-calls-messages-on-aadhaar-linking/articleshow/61874598.cms"" target=""_blank"">What LIC said on spurious calls, messages on Aadhaar linking</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font",2017-12-01 08:00:00+00:00,The Times of India
Electoral Bonds: Step Towards Clean Money in Political Funding? - The Quint,https://www.thequint.com/explainers/electoral-bonds-and-will-they-end-black-money-in-political-funding," href=""https://www.thequint.com/explainers/electoral-bonds-and-will-they-end-black-money-in-political-funding"" target=""_blank"">Electoral Bonds: Step Towards Clean Money in Political Funding?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Quint</font",2018-01-07 08:00:00+00:00,The Quint
Britain First: Trump's 'simply racist' new Twitter pals - Deutsche Welle,https://www.dw.com/en/britain-first-trumps-simply-racist-new-twitter-pals/a-41589045," href=""https://www.dw.com/en/britain-first-trumps-simply-racist-new-twitter-pals/a-41589045"" target=""_blank"">Britain First: Trump's 'simply racist' new Twitter pals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deutsche Welle</font",2017-11-29 08:00:00+00:00,Deutsche Welle
title,link,description,date,source
Talk Point: Is it democratic to have harsh criminal law over civil remedies against defamation? - ThePrint,https://theprint.in/talk-point/talk-point-democratic-harsh-criminal-law-civil-remedies-defamation/12120/," href=""https://theprint.in/talk-point/talk-point-democratic-harsh-criminal-law-civil-remedies-defamation/12120/"" target=""_blank"">Talk Point: Is it democratic to have harsh criminal law over civil remedies against defamation?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font",2017-10-11 07:00:00+00:00,ThePrint
Arun Jaitleys suit against AAPs Raghav Chadha: Does republishing of defamatory content amount to defamation? - Firstpost,http://www.firstpost.com/politics/arun-jaitleys-suit-againt-aaps-raghav-chadha-does-republishing-of-defamatory-content-amount-to-defamation-4058989.html," href=""http://www.firstpost.com/politics/arun-jaitleys-suit-againt-aaps-raghav-chadha-does-republishing-of-defamatory-content-amount-to-defamation-4058989.html"" target=""_blank"">Arun Jaitleys suit against AAPs Raghav Chadha: Does republishing of defamatory content amount to defamation?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2017-09-19 07:00:00+00:00,Firstpost
Do defamation cases really work in India? A look at some well-known ones - The New Indian Express,https://www.newindianexpress.com/nation/2017/oct/10/do-defamation-cases-really-work-in-india-a-look-at-some-well-known-ones-1669266.html," href=""https://www.newindianexpress.com/nation/2017/oct/10/do-defamation-cases-really-work-in-india-a-look-at-some-well-known-ones-1669266.html"" target=""_blank"">Do defamation cases really work in India? A look at some well-known ones</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font",2017-10-10 07:00:00+00:00,The New Indian Express
"Chris Gayle wins 'emotional' defamation suit, while Fairfax says it 'did not get a fair trial' - ABC Online",https://www.abc.net.au/news/2017-10-30/chris-gayles-defamation-suit-against-fairfax-media/9099610," href=""https://www.abc.net.au/news/2017-10-30/chris-gayles-defamation-suit-against-fairfax-media/9099610"" target=""_blank"">Chris Gayle wins 'emotional' defamation suit, while Fairfax says it 'did not get a fair trial'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC Online</font",2017-10-30 07:00:00+00:00,ABC Online
