title,link,description,date,source
Scarborough man sentenced for mailing belly dancing apparel in postage scam - Bangor Daily News,https://bangordailynews.com/2011/09/07/news/scarborough-man-sentenced-for-mailing-belly-dancing-apparel-in-postage-scam/," href=""https://bangordailynews.com/2011/09/07/news/scarborough-man-sentenced-for-mailing-belly-dancing-apparel-in-postage-scam/"" target=""_blank"">Scarborough man sentenced for mailing belly dancing apparel in postage scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bangor Daily News</font",2011-09-07 07:00:00+00:00,Bangor Daily News
Inmate's huge credit-card scam unravels when Bath Township detective connects dots - Plain Dealer,https://www.cleveland.com/metro/2011/07/prison_bars_did_nothing_to_sto.html," href=""https://www.cleveland.com/metro/2011/07/prison_bars_did_nothing_to_sto.html"" target=""_blank"">Inmate's huge credit-card scam unravels when Bath Township detective connects dots</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Plain Dealer</font",2011-07-31 07:00:00+00:00,Plain Dealer
This real-estate scam can land you in jail - MarketWatch,https://www.marketwatch.com/story/this-real-estate-scam-can-land-you-in-jail-2011-07-01," href=""https://www.marketwatch.com/story/this-real-estate-scam-can-land-you-in-jail-2011-07-01"" target=""_blank"">This real-estate scam can land you in jail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketWatch</font",2011-07-01 07:00:00+00:00,MarketWatch
Short sale fraud plagues the housing market - CNN,https://money.cnn.com/2011/06/28/real_estate/short_sale_fraud_rising/index.htm," href=""https://money.cnn.com/2011/06/28/real_estate/short_sale_fraud_rising/index.htm"" target=""_blank"">Short sale fraud plagues the housing market</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font",2011-07-14 07:00:00+00:00,CNN
Boiler room fradusters jailed for record 19 years - Telegraph.co.uk,https://www.telegraph.co.uk/finance/financial-crime/8716780/Boiler-room-fradusters-jailed-for-record-19-years.html," href=""https://www.telegraph.co.uk/finance/financial-crime/8716780/Boiler-room-fradusters-jailed-for-record-19-years.html"" target=""_blank"">Boiler room fradusters jailed for record 19 years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph.co.uk</font",2011-08-23 07:00:00+00:00,Telegraph.co.uk
"Armen Kazarian ""Pzo"" Pleads Guilty in Medicare Fraud Case - Hetq Online",https://hetq.am/en/article/2794," href=""https://hetq.am/en/article/2794"" target=""_blank"">Armen Kazarian ""Pzo"" Pleads Guilty in Medicare Fraud Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hetq Online</font",2011-07-09 07:00:00+00:00,Hetq Online
Inmate ran scam from Missouri prison - STLtoday.com,https://www.stltoday.com/news/local/crime-and-courts/inmate-ran-scam-from-missouri-prison/article_fd2b0614-b92b-11e0-9331-0019bb30f31a.html," href=""https://www.stltoday.com/news/local/crime-and-courts/inmate-ran-scam-from-missouri-prison/article_fd2b0614-b92b-11e0-9331-0019bb30f31a.html"" target=""_blank"">Inmate ran scam from Missouri prison</a>&nbsp;&nbsp;<font color=""#6f6f6f"">STLtoday.com</font",2011-07-28 07:00:00+00:00,STLtoday.com
Leaked video of Casey Anthony confessing? Facebook scam spreads quickly - Naked Security,https://nakedsecurity.sophos.com/2011/07/10/leaked-video-of-casey-anthony-confessing-facebook-scam-spreads-quickly/," href=""https://nakedsecurity.sophos.com/2011/07/10/leaked-video-of-casey-anthony-confessing-facebook-scam-spreads-quickly/"" target=""_blank"">Leaked video of Casey Anthony confessing? Facebook scam spreads quickly</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Naked Security</font",2011-07-10 07:00:00+00:00,Naked Security
Former Nogales Mayor Octavio Von Borstel Pleads Guilty to Corruption Charges - Phoenix New Times,https://www.phoenixnewtimes.com/news/former-nogales-mayor-octavio-von-borstel-pleads-guilty-to-corruption-charges-6627448," href=""https://www.phoenixnewtimes.com/news/former-nogales-mayor-octavio-von-borstel-pleads-guilty-to-corruption-charges-6627448"" target=""_blank"">Former Nogales Mayor Octavio Von Borstel Pleads Guilty to Corruption Charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Phoenix New Times</font",2011-06-28 07:00:00+00:00,Phoenix New Times
Norway's mass killer pursuing anti-Islam crusade - Reuters,https://uk.reuters.com/article/us-norway-manifesto/norways-mass-killer-pursuing-anti-islam-crusade-idUSTRE76N0X820110724," href=""https://uk.reuters.com/article/us-norway-manifesto/norways-mass-killer-pursuing-anti-islam-crusade-idUSTRE76N0X820110724"" target=""_blank"">Norway's mass killer pursuing anti-Islam crusade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2011-07-24 07:00:00+00:00,Reuters
"Victims who lost homes, savings in Ponzi scheme speak out at con man's sentencing - Hawaii News Now",https://www.hawaiinewsnow.com/story/15102606/sentencing-for-man-accused-of-running-ponzi-scheme-postponed," href=""https://www.hawaiinewsnow.com/story/15102606/sentencing-for-man-accused-of-running-ponzi-scheme-postponed"" target=""_blank"">Victims who lost homes, savings in Ponzi scheme speak out at con man's sentencing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hawaii News Now</font",2011-07-18 07:00:00+00:00,Hawaii News Now
