title,link,description,date,source
Trader who killed kin had lost crores in crown chit fund scam - The Tribune India,https://www.tribuneindia.com/news/punjab/trader-who-killed-kin-had-lost-crores-in-crown-chit-fund-scam-160330," href=""https://www.tribuneindia.com/news/punjab/trader-who-killed-kin-had-lost-crores-in-crown-chit-fund-scam-160330"" target=""_blank"">Trader who killed kin had lost crores in crown chit fund scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-24 01:52:00+00:00,The Tribune India
‘Scam 1992 -The Harshad Mehta Story’: Gripping series revealing why ethical practices matter - National Herald,https://www.nationalheraldindia.com/entertainment/scam-1992-the-harshad-mehta-story-gripping-series-revealing-why-ethical-practices-matter," href=""https://www.nationalheraldindia.com/entertainment/scam-1992-the-harshad-mehta-story-gripping-series-revealing-why-ethical-practices-matter"" target=""_blank"">‘Scam 1992 -The Harshad Mehta Story’: Gripping series revealing why ethical practices matter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-10-12 07:00:00+00:00,National Herald
Cop accused in Assam police job recruitment scam arrested - Hindustan Times,https://www.hindustantimes.com/india-news/cop-accused-in-assam-police-job-recruitment-scam-arrested/story-Mlmeyr9Mdvcvj5cr6Fx0oN.html," href=""https://www.hindustantimes.com/india-news/cop-accused-in-assam-police-job-recruitment-scam-arrested/story-Mlmeyr9Mdvcvj5cr6Fx0oN.html"" target=""_blank"">Cop accused in Assam police job recruitment scam arrested</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-16 07:00:00+00:00,Hindustan Times
2G scam: Delhi HC to hear appeal against acquittal of accused from Oct 5 on a daily basis - Republic World,https://www.republicworld.com/india-news/law-and-order/2g-scam-delhi-hc-to-hear-appeal-against-acquittal-of-accused-on-a-dai.html," href=""https://www.republicworld.com/india-news/law-and-order/2g-scam-delhi-hc-to-hear-appeal-against-acquittal-of-accused-on-a-dai.html"" target=""_blank"">2G scam: Delhi HC to hear appeal against acquittal of accused from Oct 5 on a daily basis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font",2020-09-29 07:00:00+00:00,Republic World
Explained: Does a person have to be named in an FIR to be charged by the police? - The Indian Express,https://indianexpress.com/article/explained/trp-scam-republic-mumbai-police-fir-6821350/," href=""https://indianexpress.com/article/explained/trp-scam-republic-mumbai-police-fir-6821350/"" target=""_blank"">Explained: Does a person have to be named in an FIR to be charged by the police?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-25 06:35:13+00:00,The Indian Express
Coal scam case: Former union minister Dilip Ray convicted by Delhi court - Zee News,https://zeenews.india.com/india/coal-scam-case-former-union-minister-dilip-ray-convicted-by-delhi-court-2315196.html," href=""https://zeenews.india.com/india/coal-scam-case-former-union-minister-dilip-ray-convicted-by-delhi-court-2315196.html"" target=""_blank"">Coal scam case: Former union minister Dilip Ray convicted by Delhi court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font",2020-10-06 07:00:00+00:00,Zee News
From The Newsroom: Republic TV accused of TRP scam; Domestic flights may operate at 75% capacity - Deccan Herald,https://www.deccanherald.com/national/from-the-newsroom-republic-tv-accused-of-trp-scam-domestic-flights-may-operate-at-75-capacity-899139.html," href=""https://www.deccanherald.com/national/from-the-newsroom-republic-tv-accused-of-trp-scam-domestic-flights-may-operate-at-75-capacity-899139.html"" target=""_blank"">From The Newsroom: Republic TV accused of TRP scam; Domestic flights may operate at 75% capacity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font",2020-10-08 07:00:00+00:00,Deccan Herald
CBI books fresh case against PNB scam accused official - The Hindu,https://www.thehindu.com/news/national/cbi-books-fresh-case-against-pnb-scam-accused-official/article32896328.ece," href=""https://www.thehindu.com/news/national/cbi-books-fresh-case-against-pnb-scam-accused-official/article32896328.ece"" target=""_blank"">CBI books fresh case against PNB scam accused official</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-20 00:12:00+00:00,The Hindu
"Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud - India.com",https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/," href=""https://www.india.com/viral/railway-ticket-scam-iit-graduate-creates-faster-rail-ticket-booking-app-than-irctc-arrested-for-fraud-4186874/"" target=""_blank"">Railway Ticket Scam: IIT Graduate Creates Faster Rail Ticket Booking App Than IRCTC, Arrested For Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India.com</font",2020-10-27 03:24:30+00:00,India.com
"Assam paper leak scam: Former top cop PK Dutta, prime accused in case, detained at India-Nepal border - Firstpost",https://www.firstpost.com/india/assam-paper-leak-scam-former-top-cop-pk-dutta-prime-accused-in-case-detained-at-india-nepal-border-8885331.html," href=""https://www.firstpost.com/india/assam-paper-leak-scam-former-top-cop-pk-dutta-prime-accused-in-case-detained-at-india-nepal-border-8885331.html"" target=""_blank"">Assam paper leak scam: Former top cop PK Dutta, prime accused in case, detained at India-Nepal border</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2020-10-06 07:00:00+00:00,Firstpost
"NIA suspects Dawood link in the Kerala gold smuggling scam, accused had travelled to D-gang locations in Tanzania: Reports - OpIndia",https://www.opindia.com/2020/10/nia-suspects-dawood-link-in-kerala-gold-smuggling-scam/," href=""https://www.opindia.com/2020/10/nia-suspects-dawood-link-in-kerala-gold-smuggling-scam/"" target=""_blank"">NIA suspects Dawood link in the Kerala gold smuggling scam, accused had travelled to D-gang locations in Tanzania: Reports</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-15 07:00:00+00:00,OpIndia
Kerala gold scam: 5 accused sent to NIA custody; Swapnas bail to be heard on Thursday - Republic World,https://www.republicworld.com/india-news/law-and-order/kerala-gold-scam-5-accused-sent-to-nia-custody-swapnas-bail-to-be-h.html," href=""https://www.republicworld.com/india-news/law-and-order/kerala-gold-scam-5-accused-sent-to-nia-custody-swapnas-bail-to-be-h.html"" target=""_blank"">Kerala gold scam: 5 accused sent to NIA custody; Swapnas bail to be heard on Thursday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font",2020-10-12 07:00:00+00:00,Republic World
SBI official held in ₹1.05 crore fake gold loan fraud in East Godavari - The Hindu,https://www.thehindu.com/news/national/andhra-pradesh/sbi-official-held-in-105-crore-fake-gold-loan-fraud-in-east-godavari/article32885849.ece," href=""https://www.thehindu.com/news/national/andhra-pradesh/sbi-official-held-in-105-crore-fake-gold-loan-fraud-in-east-godavari/article32885849.ece"" target=""_blank"">SBI official held in ₹1.05 crore fake gold loan fraud in East Godavari</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font",2020-10-18 07:00:00+00:00,The Hindu
