title,link,description,date,source
British American Tobacco 'bribed' Kenyan politician Martha Karua to stop action against cigarette smuggling - The Independent,https://www.independent.co.uk/news/uk/crime/british-american-tobacco-bribed-kenyan-politician-martha-karua-stop-action-against-cigarette-smuggling-a6779236.html," href=""https://www.independent.co.uk/news/uk/crime/british-american-tobacco-bribed-kenyan-politician-martha-karua-stop-action-against-cigarette-smuggling-a6779236.html"" target=""_blank"">British American Tobacco 'bribed' Kenyan politician Martha Karua to stop action against cigarette smuggling</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Independent</font",2015-12-18 08:00:00+00:00,The Independent
Bribery case against ex-head of Rosbank closed - report - RAPSI,http://www.rapsinews.com/anticorruption_news/20160128/275332652.html," href=""http://www.rapsinews.com/anticorruption_news/20160128/275332652.html"" target=""_blank"">Bribery case against ex-head of Rosbank closed - report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RAPSI</font",2016-01-28 08:00:00+00:00,RAPSI
UPDATE: Mexican cartel member found guilty on bribery charges - Shreveport Times,https://www.shreveporttimes.com/story/news/crime/2016/01/26/high-profile-case-brings-extra-security-federal-courthouse/79355500/," href=""https://www.shreveporttimes.com/story/news/crime/2016/01/26/high-profile-case-brings-extra-security-federal-courthouse/79355500/"" target=""_blank"">UPDATE: Mexican cartel member found guilty on bribery charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Shreveport Times</font",2016-01-26 08:00:00+00:00,Shreveport Times
Athletics doping crisis: Papa Diack 'rejects' bribery claims - BBC News,https://www.bbc.co.uk/sport/athletics/35157491," href=""https://www.bbc.co.uk/sport/athletics/35157491"" target=""_blank"">Athletics doping crisis: Papa Diack 'rejects' bribery claims</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC News</font",2015-12-22 08:00:00+00:00,BBC News
Foreign Bribery in Australia and Overseas: 5 Things You Need to Know - Lexology,https://www.lexology.com/library/detail.aspx?g=064f2adb-477a-48a9-83ba-77f1ceff3f16," href=""https://www.lexology.com/library/detail.aspx?g=064f2adb-477a-48a9-83ba-77f1ceff3f16"" target=""_blank"">Foreign Bribery in Australia and Overseas: 5 Things You Need to Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lexology</font",2015-12-23 08:00:00+00:00,Lexology
Senior Tel Aviv cop arrested in bribery case - The Times of Israel,https://www.timesofisrael.com/senior-tel-aviv-cop-arrested-in-bribery-case/," href=""https://www.timesofisrael.com/senior-tel-aviv-cop-arrested-in-bribery-case/"" target=""_blank"">Senior Tel Aviv cop arrested in bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of Israel</font",2015-11-25 08:00:00+00:00,The Times of Israel
"Brazil probes 13 banks for Schahin, Petrobras operations: report - Reuters",https://www.reuters.com/article/us-brazil-corruption-banks-idUSKCN0UP24Y20160111," href=""https://www.reuters.com/article/us-brazil-corruption-banks-idUSKCN0UP24Y20160111"" target=""_blank"">Brazil probes 13 banks for Schahin, Petrobras operations: report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2016-01-11 08:00:00+00:00,Reuters
Oman's National Gas Company fires CEO over bribery - gulfnews.com,https://gulfnews.com/world/gulf/oman/omans-national-gas-company-fires-ceo-over-bribery-1.1674858," href=""https://gulfnews.com/world/gulf/oman/omans-national-gas-company-fires-ceo-over-bribery-1.1674858"" target=""_blank"">Oman's National Gas Company fires CEO over bribery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">gulfnews.com</font",2016-02-17 08:00:00+00:00,gulfnews.com
EXCLUSIVE - U.S. investigates broadcasters in widening FIFA case - Reuters,https://www.reuters.com/article/soccer-fifa-broadcasting-idUSKBN0TX06720151214," href=""https://www.reuters.com/article/soccer-fifa-broadcasting-idUSKBN0TX06720151214"" target=""_blank"">EXCLUSIVE - U.S. investigates broadcasters in widening FIFA case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2015-12-13 08:00:00+00:00,Reuters
"Police Officers, Businessman Charged With Bribery, Abuse of Office - Fiji Sun Online",https://fijisun.com.fj/2016/02/04/police-officers-businessman-charged-with-bribery-abuse-of-office/," href=""https://fijisun.com.fj/2016/02/04/police-officers-businessman-charged-with-bribery-abuse-of-office/"" target=""_blank"">Police Officers, Businessman Charged With Bribery, Abuse of Office</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fiji Sun Online</font",2016-02-04 08:00:00+00:00,Fiji Sun Online
"In Ukraine’s universities, trading bribes for diplomas - POLITICO.eu",https://www.politico.eu/article/trading-bribes-for-diplomas-in-ukraines-universities-taxes-transparency-education-corruption/," href=""https://www.politico.eu/article/trading-bribes-for-diplomas-in-ukraines-universities-taxes-transparency-education-corruption/"" target=""_blank"">In Ukraine’s universities, trading bribes for diplomas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">POLITICO.eu</font",2016-01-30 08:00:00+00:00,POLITICO.eu
Bribery allegations lead to fight after Bloomfield City Council meeting - PhillyVoice.com,https://www.phillyvoice.com/bribery-allegations-lead-fight-after-bloomfield-city-council-meeting/," href=""https://www.phillyvoice.com/bribery-allegations-lead-fight-after-bloomfield-city-council-meeting/"" target=""_blank"">Bribery allegations lead to fight after Bloomfield City Council meeting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PhillyVoice.com</font",2016-01-06 08:00:00+00:00,PhillyVoice.com
"Five current, former Crystal City leaders arrested on bribery charges - WOAI",https://news4sanantonio.com/news/local/breaking-city-hall-in-crystal-city-targeted-in-fbi-investigation," href=""https://news4sanantonio.com/news/local/breaking-city-hall-in-crystal-city-targeted-in-fbi-investigation"" target=""_blank"">Five current, former Crystal City leaders arrested on bribery charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WOAI</font",2016-02-04 08:00:00+00:00,WOAI
