url,tag,article
https://www.standard.net/police-fire/four-men-accused-of-fraudulent-shopping-spree-in-riverdale/article_d88ff0b9-8e60-5132-b862-3741673d8e84.html,fraud,
https://www.capecodtimes.com/news/20171005/founder-of-former-falmouth-mortgage-company-pleads-guilty-to-fraud,fraud,
https://www.courant.com/breaking-news/hc-andover-fraud-0206-20160205-story.html,fraud,
https://www.nbcbayarea.com/news/local/sheriffs-lieutenant-arrested-in-las-vegas-for-alleged-workers-comp-fraud/163858/,fraud,
https://www.housingwire.com/articles/37170-north-carolina-attorney-pleads-guilty-for-18m-mortgage-fraud-scheme/,fraud,
https://www.newindianexpress.com/cities/kochi/2013/apr/25/ex-bureaucrats-son-arrested-for-fraud-471302.html,fraud,
https://www.mycentraljersey.com/story/news/local/somerset-county/2015/06/23/somerset-man-accused-wire-fraud-charges/29183289/,fraud,
https://www.bbc.com/news/uk-england-berkshire-41163274,fraud,
https://www.newson6.com/story/5e3660992f69d76f62074728/creek-county-funeral-director-arrested-on-allegations-of-fraud,fraud,
https://www.wkbn.com/news/local-news/former-owner-of-braking-point-in-austintown-pleads-guilty-in-fraud-case/,fraud,
https://www.elpasotimes.com/story/news/crime/2018/09/10/law-enforcement-arrest-18-suspects-prescription-drug-fraud-cases/1261530002/,fraud,
https://www.masslive.com/news/2017/02/cambridge_jeweler_who_sold_to.html,fraud,
https://www.ktnv.com/news/north-las-vegas-woman-pleads-guilty-to-insurance-fraud,fraud,
https://www.victoriaadvocate.com/news/business/former-victoria-housing-authority-commissioner-arrested-on-theft-fraud-charges/article_e6ab1ff6-d71f-5560-8969-78185e4b8b00.html,fraud,
https://pittsburgh.cbslocal.com/2019/08/12/local-ceo-accused-of-fraud-involving-grant-requests/,fraud,
https://www.insurancejournal.com/news/southcentral/2011/08/01/208814.htm,fraud,
https://www.patriotledger.com/news/20190710/milton-man-accused-of-bank-fraud,fraud,
https://kstp.com/news/home-health-care-worker-accused-of-fraud-advocates-call-out-larger-problem-kenya-gordon/5385932/,fraud,
https://www.wtkr.com/2015/09/15/veteran-accused-of-defrauding-non-profits-pleads-no-contest-in-virginia-beach/,fraud,
https://bangordailynews.com/2019/04/19/news/bangor/man-accused-of-pirating-selling-videos-faces-new-mail-fraud-charge/,fraud,
https://www.dnaindia.com/mumbai/report-kin-of-rs-9-cr-fraud-accused-disowned-him-over-gambling-2593650,fraud,
https://www.news4jax.com/news/2019/05/17/construction-company-owner-accused-of-workers-comp-fraud/,fraud,
https://www.kalb.com/content/news/Bunkie-woman-arrested-in-fraud-scheme-570022831.html,fraud,
https://www.oaoa.com/news/crime_justice/courts/woman-pleads-guilty-to-fraud/article_6e855b08-5aa1-11e2-b10d-0019bb30f31a.html,fraud,
https://radaronline.com/exclusives/2014/02/bachelor-aaron-buerge-fraud-million-dollar-debt/,fraud,
https://www.vvng.com/3-arrested-sophisticated-fraud-ring-victorville/,fraud,
https://www.rochdaleonline.co.uk/news-features/2/news-headlines/68463/former-trust-nurse-pleads-guilty-to-fraud-following-internal-probe,fraud,
https://www.uticaod.com/news/20190116/rome-woman-arrested-on-fraud-charges,fraud,
https://www.mercurynews.com/2014/01/17/two-san-francisco-antique-dealers-accused-of-1-5-million-art-loan-fraud/,fraud,
https://www.theguardian.com/global-development/2015/jun/02/nigeria-central-bank-officials-accused-of-40m-fraud,fraud,
https://www.newindianexpress.com/cities/chennai/2015/jun/03/Actor-Leena-Maria-Paul-Partner-Arrested-for-Fraud-750278.html,fraud,
https://www.nme.com/news/music/fyre-festival-founder-billy-mcfarland-pleads-guilty-fraud-2256048,fraud,
https://www.washingtonpost.com/news/morning-mix/wp/2015/05/21/chinese-casanova-with-17-girlfriends-arrested-for-fraud/,fraud,
https://www.theadvocate.com/baton_rouge/news/crime_police/article_81dde4fe-409d-11e7-ac6d-cbb48ec4727f.html,fraud,
https://www.ndtv.com/delhi-news/man-arrested-for-atm-fraud-from-delhis-okhla-industrial-area-police-2069420,fraud,
https://www.oregonlive.com/lake-oswego/2013/07/fired_lake_oswego_bank_executi.html,fraud,
https://www.nbcmiami.com/news/local/man-charged-in-75-million-miami-heat-fraud-to-plead-guilty/1953646/,fraud,
https://www.nydailynews.com/new-york/nyc-crime/ny-bronx-cop-arrested-by-fbi-for-fraud-20191107-xlx7r4syjzcdvlh5bm3nbzn4qi-story.html,fraud,
https://www.ajc.com/news/national/food-stamp-fraud-arrests-200-people-florida-accused-years-long-investigation/0aYQzAqcxzfDCm2R5nMu7O/,fraud,
https://www.khon2.com/local-news/accused-man-found-guilty-of-32-counts-of-wire-and-mail-fraud/,fraud,
