title,link,description,date,source
"Yes Bank case: ED arrests CFO, internal auditor of Cox and Kings - Hindustan Times",https://www.hindustantimes.com/india-news/yes-bank-case-ed-arrests-cfo-internal-auditor-of-cox-and-kings/story-0k5xoGqKnbMPfa9lhBgp1I.html," href=""https://www.hindustantimes.com/india-news/yes-bank-case-ed-arrests-cfo-internal-auditor-of-cox-and-kings/story-0k5xoGqKnbMPfa9lhBgp1I.html"" target=""_blank"">Yes Bank case: ED arrests CFO, internal auditor of Cox and Kings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-06 07:00:00+00:00,Hindustan Times
"States, ULBs not paying frontline workers, healthcare professionals is nothing short of govt default - The Financial Express",https://www.financialexpress.com/opinion/states-ulbs-not-paying-frontline-workers-healthcare-professionals-is-nothing-short-of-govt-default/2095379/," href=""https://www.financialexpress.com/opinion/states-ulbs-not-paying-frontline-workers-healthcare-professionals-is-nothing-short-of-govt-default/2095379/"" target=""_blank"">States, ULBs not paying frontline workers, healthcare professionals is nothing short of govt default</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font",2020-10-01 07:00:00+00:00,The Financial Express
"Joseph Stiglitz, the economist that Rahul Gandhi praised for attacking Modi, is known for his questionable policies and wrong predictions - OpIndia",https://www.opindia.com/2020/10/economist-joseph-stiglitz-wrong-policies-predictions-rahul-gandhi-praise/," href=""https://www.opindia.com/2020/10/economist-joseph-stiglitz-wrong-policies-predictions-rahul-gandhi-praise/"" target=""_blank"">Joseph Stiglitz, the economist that Rahul Gandhi praised for attacking Modi, is known for his questionable policies and wrong predictions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OpIndia</font",2020-10-07 07:00:00+00:00,OpIndia
BPCL pays for defaulting Videocon in Brazil oil block - ETEnergyworld.com,https://energy.economictimes.indiatimes.com/news/oil-and-gas/bpcl-pays-for-defaulting-videocon-in-brazil-oil-block/78355979," href=""https://energy.economictimes.indiatimes.com/news/oil-and-gas/bpcl-pays-for-defaulting-videocon-in-brazil-oil-block/78355979"" target=""_blank"">BPCL pays for defaulting Videocon in Brazil oil block</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETEnergyworld.com</font",2020-09-28 01:19:19+00:00,ETEnergyworld.com
Delhi Police nabs absconding debtors for taking Rs 2.56 crore loan against forged documents - India Today,https://www.indiatoday.in/cities/delhi/story/delhi-police-nabs-absconding-debtors-for-taking-rs-2-56-crore-loan-against-forged-documents-1731665-2020-10-15," href=""https://www.indiatoday.in/cities/delhi/story/delhi-police-nabs-absconding-debtors-for-taking-rs-2-56-crore-loan-against-forged-documents-1731665-2020-10-15"" target=""_blank"">Delhi Police nabs absconding debtors for taking Rs 2.56 crore loan against forged documents</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font",2020-10-14 21:39:31+00:00,India Today
"Mumbai Police’s EOW books property investment firm for duping 7,000 investors of ₹700 crore - Hindustan Times",https://www.hindustantimes.com/mumbai-news/mumbai-police-s-eow-books-property-investment-firm-for-duping-7-000-investors-of-700-crore/story-55RzlJC1jVXoUAbI8Q3OHN.html," href=""https://www.hindustantimes.com/mumbai-news/mumbai-police-s-eow-books-property-investment-firm-for-duping-7-000-investors-of-700-crore/story-55RzlJC1jVXoUAbI8Q3OHN.html"" target=""_blank"">Mumbai Police’s EOW books property investment firm for duping 7,000 investors of ₹700 crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2020-10-08 07:00:00+00:00,Hindustan Times
The Energy Bulletin Weekly: 26 October 2020 - Resilience,https://www.resilience.org/stories/2020-10-26/the-energy-bulletin-weekly-26-october-2020/," href=""https://www.resilience.org/stories/2020-10-26/the-energy-bulletin-weekly-26-october-2020/"" target=""_blank"">The Energy Bulletin Weekly: 26 October 2020</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Resilience</font",2020-10-26 14:13:18+00:00,Resilience
Ahmedabad fire brigade has 27% posts vacant - Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-fire-brigade-has-27-posts-vacant/articleshow/78690499.cms," href=""https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-fire-brigade-has-27-posts-vacant/articleshow/78690499.cms"" target=""_blank"">Ahmedabad fire brigade has 27% posts vacant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-16 07:00:00+00:00,Times of India
Grenke leasing accused of 'Ponzi scheme' - betterRetailing,https://www.betterretailing.com/shop-equipment/grenke-leasing-finance-fraud-rhino-media-viewable-media/," href=""https://www.betterretailing.com/shop-equipment/grenke-leasing-finance-fraud-rhino-media-viewable-media/"" target=""_blank"">Grenke leasing accused of 'Ponzi scheme'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">betterRetailing</font",2020-09-28 07:00:00+00:00,betterRetailing
"Nirav Modi accused of kidnapping staff in Egypt, destroying & hiding evidence - Times of India",https://timesofindia.indiatimes.com/business/india-business/nirav-modi-accused-of-kidnapping-staff-in-egypt-destroying-hiding-evidence/articleshow/77985548.cms," href=""https://timesofindia.indiatimes.com/business/india-business/nirav-modi-accused-of-kidnapping-staff-in-egypt-destroying-hiding-evidence/articleshow/77985548.cms"" target=""_blank"">Nirav Modi accused of kidnapping staff in Egypt, destroying & hiding evidence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-09-07 07:00:00+00:00,Times of India
HC refuses blanket order on plea by Unitech MD to allow physical presence for mediation - ETRealty.com,https://realty.economictimes.indiatimes.com/news/regulatory/hc-refuses-blanket-order-on-plea-by-unitech-md-to-allow-physical-presence-for-mediation/78869991," href=""https://realty.economictimes.indiatimes.com/news/regulatory/hc-refuses-blanket-order-on-plea-by-unitech-md-to-allow-physical-presence-for-mediation/78869991"" target=""_blank"">HC refuses blanket order on plea by Unitech MD to allow physical presence for mediation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETRealty.com</font",2020-10-26 09:36:14+00:00,ETRealty.com
38 Named In Bank Fraud Cases Fled India In Last 4 Years: Probe Agency - NDTV,https://www.ndtv.com/india-news/38-named-in-bank-fraud-cases-fled-india-in-last-4-years-probe-agency-2295273," href=""https://www.ndtv.com/india-news/38-named-in-bank-fraud-cases-fled-india-in-last-4-years-probe-agency-2295273"" target=""_blank"">38 Named In Bank Fraud Cases Fled India In Last 4 Years: Probe Agency</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-09-14 07:00:00+00:00,NDTV
"No funds available: Depositors at India's PMC Bank survive on loans, charity - Reuters",https://www.reuters.com/article/us-india-banking-pmc-insight-idUSKBN25M03L," href=""https://www.reuters.com/article/us-india-banking-pmc-insight-idUSKBN25M03L"" target=""_blank"">No funds available: Depositors at India's PMC Bank survive on loans, charity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2020-08-25 07:00:00+00:00,Reuters
"Dairy Maker Kwality Charged By CBI With Rs 1,400 Crore Bank Loan Fraud - NDTV",https://www.ndtv.com/india-news/dairy-maker-kwality-charged-by-central-bureau-of-investigation-with-rs-1-400-crore-bank-loan-fraud-2298914," href=""https://www.ndtv.com/india-news/dairy-maker-kwality-charged-by-central-bureau-of-investigation-with-rs-1-400-crore-bank-loan-fraud-2298914"" target=""_blank"">Dairy Maker Kwality Charged By CBI With Rs 1,400 Crore Bank Loan Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-09-21 07:00:00+00:00,NDTV
CBI registers loan fraud case against Vadodara firm - Republic World,https://www.republicworld.com/india-news/law-and-order/cbi-registers-loan-fraud-case-against-vadodara-firm.html," href=""https://www.republicworld.com/india-news/law-and-order/cbi-registers-loan-fraud-case-against-vadodara-firm.html"" target=""_blank"">CBI registers loan fraud case against Vadodara firm</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font",2020-09-11 07:00:00+00:00,Republic World
Mumbai Special Court Calls For Report From Superintendent Of Taloja Jail After Drugs Case Accused Misses... - Live Law,https://www.livelaw.in/news-updates/mumbai-special-court-calls-for-report-from-superintendent-of-taloja-jail-after-drugs-case-accused-misses-college-exam-164550," href=""https://www.livelaw.in/news-updates/mumbai-special-court-calls-for-report-from-superintendent-of-taloja-jail-after-drugs-case-accused-misses-college-exam-164550"" target=""_blank"">Mumbai Special Court Calls For Report From Superintendent Of Taloja Jail After Drugs Case Accused Misses...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Live Law</font",2020-10-15 07:00:00+00:00,Live Law
"DHFL Administrator Moves NCLT against Wadhawans in Rs12,705-cr Fraud - Moneylife",https://www.moneylife.in/article/dhfl-administrator-moves-nclt-against-wadhawans-in-rs12705-cr-fraud/61651.html," href=""https://www.moneylife.in/article/dhfl-administrator-moves-nclt-against-wadhawans-in-rs12705-cr-fraud/61651.html"" target=""_blank"">DHFL Administrator Moves NCLT against Wadhawans in Rs12,705-cr Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneylife</font",2020-09-28 07:00:00+00:00,Moneylife
Banks need effective steps to curb stress as IBC suspension gets extended - ETRealty.com,https://realty.economictimes.indiatimes.com/news/industry/banks-need-effective-steps-to-curb-stress-as-ibc-suspension-gets-extended/78440747," href=""https://realty.economictimes.indiatimes.com/news/industry/banks-need-effective-steps-to-curb-stress-as-ibc-suspension-gets-extended/78440747"" target=""_blank"">Banks need effective steps to curb stress as IBC suspension gets extended</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETRealty.com</font",2020-10-02 04:10:23+00:00,ETRealty.com
Lawyer of accused Kenosha shooter resigns from defense fund - ABC27,https://www.abc27.com/news/us-world/national/lawyer-of-accused-kenosha-shooter-resigns-from-defense-fund/," href=""https://www.abc27.com/news/us-world/national/lawyer-of-accused-kenosha-shooter-resigns-from-defense-fund/"" target=""_blank"">Lawyer of accused Kenosha shooter resigns from defense fund</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC27</font",2020-09-05 07:00:00+00:00,ABC27
Opposition Demands Complete Waiver of Farm Loans - Outlook India,https://www.outlookindia.com/website/story/india-news-opposition-demands-complete-waiver-of-farm-loans/360555," href=""https://www.outlookindia.com/website/story/india-news-opposition-demands-complete-waiver-of-farm-loans/360555"" target=""_blank"">Opposition Demands Complete Waiver of Farm Loans</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-09-19 07:00:00+00:00,Outlook India
RBI's MPC meet deferred over delay in naming external members - Moneylife,https://www.moneylife.in/article/rbis-mpc-meet-deferred-over-delay-in-naming-external-members/61658.html," href=""https://www.moneylife.in/article/rbis-mpc-meet-deferred-over-delay-in-naming-external-members/61658.html"" target=""_blank"">RBI's MPC meet deferred over delay in naming external members</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneylife</font",2020-09-29 07:00:00+00:00,Moneylife
"Heera Group victims: Two years after Nowhera Sheikh's arrest, investors are yet to get their money back - Gulf News",https://gulfnews.com/uae/heera-group-victims-two-years-after-nowhera-sheikhs-arrest-investors-are-yet-to-get-their-money-back-1.74610993," href=""https://gulfnews.com/uae/heera-group-victims-two-years-after-nowhera-sheikhs-arrest-investors-are-yet-to-get-their-money-back-1.74610993"" target=""_blank"">Heera Group victims: Two years after Nowhera Sheikh's arrest, investors are yet to get their money back</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gulf News</font",2020-10-15 07:00:00+00:00,Gulf News
Govt’s diabolical game on moratorium stands exposed: Focus on optics and not genuine help in times of crisis - National Herald,https://www.nationalheraldindia.com/opinion/govts-diabolical-game-on-moratorium-stands-exposed-focus-on-optics-and-not-genuine-help-in-times-of-crisis," href=""https://www.nationalheraldindia.com/opinion/govts-diabolical-game-on-moratorium-stands-exposed-focus-on-optics-and-not-genuine-help-in-times-of-crisis"" target=""_blank"">Govt’s diabolical game on moratorium stands exposed: Focus on optics and not genuine help in times of crisis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font",2020-09-05 07:00:00+00:00,National Herald
