title,link,description,date,source
"14 foetuses found in Deoghar, police and health officials launch probe - Hindustan Times",https://www.hindustantimes.com/ranchi/14-foetuses-found-in-jharkhand-s-deoghar-police-and-health-officials-launch-probe/story-f50OgBgTgvrOD7rgjVrQPO.html," href=""https://www.hindustantimes.com/ranchi/14-foetuses-found-in-jharkhand-s-deoghar-police-and-health-officials-launch-probe/story-f50OgBgTgvrOD7rgjVrQPO.html"" target=""_blank"">14 foetuses found in Deoghar, police and health officials launch probe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2017-04-25 07:00:00+00:00,Hindustan Times
Maharashtra's polluting factories make its rivers filthiest in India - Mid-Day,https://www.mid-day.com/articles/national-news-maharashtra-polluting-factories-make-its-rivers-filthiest-in-india/18238196," href=""https://www.mid-day.com/articles/national-news-maharashtra-polluting-factories-make-its-rivers-filthiest-in-india/18238196"" target=""_blank"">Maharashtra's polluting factories make its rivers filthiest in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mid-Day</font",2017-05-10 07:00:00+00:00,Mid-Day
"₹50 crore cess yet to be recovered from realtors, says Greater Noida labour department - Hindustan Times",https://www.hindustantimes.com/noida/50-crore-cess-yet-to-be-recovered-from-realtors-says-greater-noida-labour-department/story-xUg2kNqd2ukLad5NsfnFVP.html," href=""https://www.hindustantimes.com/noida/50-crore-cess-yet-to-be-recovered-from-realtors-says-greater-noida-labour-department/story-xUg2kNqd2ukLad5NsfnFVP.html"" target=""_blank"">₹50 crore cess yet to be recovered from realtors, says Greater Noida labour department</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2017-03-19 07:00:00+00:00,Hindustan Times
Texas Legislature passes ban on so-called 'sanctuary cities' - Daily Excelsior,https://www.dailyexcelsior.com/texas-legislature-passes-ban-on-so-called-sanctuary-cities/," href=""https://www.dailyexcelsior.com/texas-legislature-passes-ban-on-so-called-sanctuary-cities/"" target=""_blank"">Texas Legislature passes ban on so-called 'sanctuary cities'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Excelsior</font",2017-05-05 07:00:00+00:00,Daily Excelsior
Revenue service shuts 13 firms in Abia over unpaid tax - P.M. News,https://www.pmnewsnigeria.com/2017/05/12/revenue-service-shuts-13-firms-abia-unpaid-tax/," href=""https://www.pmnewsnigeria.com/2017/05/12/revenue-service-shuts-13-firms-abia-unpaid-tax/"" target=""_blank"">Revenue service shuts 13 firms in Abia over unpaid tax</a>&nbsp;&nbsp;<font color=""#6f6f6f"">P.M. News</font",2017-05-12 07:00:00+00:00,P.M. News
Wesbank accused of 'coaxing' defaulting consumers to surrender their cars - Times LIVE,https://www.timeslive.co.za/news/consumer-live/2017-03-30-wesbank-accused-of-coaxing-defaulting-consumers-to-surrender-their-cars/," href=""https://www.timeslive.co.za/news/consumer-live/2017-03-30-wesbank-accused-of-coaxing-defaulting-consumers-to-surrender-their-cars/"" target=""_blank"">Wesbank accused of 'coaxing' defaulting consumers to surrender their cars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times LIVE</font",2017-03-30 07:00:00+00:00,Times LIVE
The Big Tesla Swindle (NASDAQ:TSLA) - Seeking Alpha,https://seekingalpha.com/article/4062953-big-tesla-swindle," href=""https://seekingalpha.com/article/4062953-big-tesla-swindle"" target=""_blank"">The Big Tesla Swindle (NASDAQ:TSLA)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Seeking Alpha</font",2017-04-18 07:00:00+00:00,Seeking Alpha
"U.S. trying to avoid a Turkey-Kurdish conflict in Syria, general says - TODAYonline",https://www.todayonline.com/world/us-trying-avoid-turkey-kurdish-conflict-syria-general-says," href=""https://www.todayonline.com/world/us-trying-avoid-turkey-kurdish-conflict-syria-general-says"" target=""_blank"">U.S. trying to avoid a Turkey-Kurdish conflict in Syria, general says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TODAYonline</font",2017-03-09 08:00:00+00:00,TODAYonline
Declare haors as 'affected areas' - The Daily Star,https://www.thedailystar.net/city/declare-haors-affected-areas-1390495," href=""https://www.thedailystar.net/city/declare-haors-affected-areas-1390495"" target=""_blank"">Declare haors as 'affected areas'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Star</font",2017-04-13 07:00:00+00:00,The Daily Star
Land grab 'a provocation' – police - Namibian,https://www.namibian.com.na/54266/read/Land-grab-a-provocation-%E2%80%93-police," href=""https://www.namibian.com.na/54266/read/Land-grab-a-provocation-%E2%80%93-police"" target=""_blank"">Land grab 'a provocation' – police</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Namibian</font",2017-08-26 05:52:14+00:00,Namibian
"China able to keep its financial markets stable, Premier Li says - TODAYonline",https://www.todayonline.com/world/china-able-keep-its-financial-markets-stable-premier-li-says," href=""https://www.todayonline.com/world/china-able-keep-its-financial-markets-stable-premier-li-says"" target=""_blank"">China able to keep its financial markets stable, Premier Li says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TODAYonline</font",2017-05-14 07:00:00+00:00,TODAYonline
Kremlin says Syrian gas attack 'unacceptable' but U.S. data on it not objective - TODAYonline,https://www.todayonline.com/world/kremlin-says-syrian-gas-attack-unacceptable-us-data-it-not-objective," href=""https://www.todayonline.com/world/kremlin-says-syrian-gas-attack-unacceptable-us-data-it-not-objective"" target=""_blank"">Kremlin says Syrian gas attack 'unacceptable' but U.S. data on it not objective</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TODAYonline</font",2017-04-06 07:00:00+00:00,TODAYonline
Germany's Merkel to make rare Russia visit for Putin talks - TODAYonline,https://www.todayonline.com/world/germanys-merkel-make-rare-russia-visit-putin-talks," href=""https://www.todayonline.com/world/germanys-merkel-make-rare-russia-visit-putin-talks"" target=""_blank"">Germany's Merkel to make rare Russia visit for Putin talks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TODAYonline</font",2017-03-16 07:00:00+00:00,TODAYonline
