title,link,description,date,source
"Knightdale man, family face new charges in alleged credit repair scheme - Triangle Business Journal",https://www.bizjournals.com/triangle/news/2020/09/14/knightdale-man-family-face-new-charges.html," href=""https://www.bizjournals.com/triangle/news/2020/09/14/knightdale-man-family-face-new-charges.html"" target=""_blank"">Knightdale man, family face new charges in alleged credit repair scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Triangle Business Journal</font",2020-09-14 07:00:00+00:00,Triangle Business Journal
Dubai's Union Properties pays $19 million towards debt restructuring - ETRealty.com,https://realty.economictimes.indiatimes.com/news/industry/dubais-union-properties-pays-19-million-towards-debt-restructuring/78875556," href=""https://realty.economictimes.indiatimes.com/news/industry/dubais-union-properties-pays-19-million-towards-debt-restructuring/78875556"" target=""_blank"">Dubai's Union Properties pays $19 million towards debt restructuring</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETRealty.com</font",2020-10-26 14:28:10+00:00,ETRealty.com
Antitrust Risk Allocation Provisions & Merger Agreements - The National Law Review,https://www.natlawreview.com/article/are-antitrust-risk-allocation-provisions-merger-agreements-worthless," href=""https://www.natlawreview.com/article/are-antitrust-risk-allocation-provisions-merger-agreements-worthless"" target=""_blank"">Antitrust Risk Allocation Provisions & Merger Agreements</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The National Law Review</font",2020-10-08 07:00:00+00:00,The National Law Review
'38 businessmen facing charges of financial irregularities have fled the country since Jan 2015' - Times Now,https://www.timesnownews.com/business-economy/companies/article/38-businessmen-facing-charges-of-financial-irregularities-have-fled-the-country-since-jan/652378," href=""https://www.timesnownews.com/business-economy/companies/article/38-businessmen-facing-charges-of-financial-irregularities-have-fled-the-country-since-jan/652378"" target=""_blank"">'38 businessmen facing charges of financial irregularities have fled the country since Jan 2015'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font",2020-09-14 07:00:00+00:00,Times Now
What no student loan payments until 2021 means for you - 1011now,https://www.1011now.com/2020/08/12/what-no-student-loan-payments-until-2021-means-for-you/," href=""https://www.1011now.com/2020/08/12/what-no-student-loan-payments-until-2021-means-for-you/"" target=""_blank"">What no student loan payments until 2021 means for you</a>&nbsp;&nbsp;<font color=""#6f6f6f"">1011now</font",2020-08-12 07:00:00+00:00,1011now
Rittenhouse Lawyer Resigns From Defense Fund - Wisconsin Public Radio News,https://www.wpr.org/rittenhouse-lawyer-resigns-defense-fund," href=""https://www.wpr.org/rittenhouse-lawyer-resigns-defense-fund"" target=""_blank"">Rittenhouse Lawyer Resigns From Defense Fund</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Wisconsin Public Radio News</font",2020-09-05 07:00:00+00:00,Wisconsin Public Radio News
Dubai's Arabtec Holding PJSC to be liquidated - ETRealty.com,https://realty.economictimes.indiatimes.com/news/industry/dubais-arabtec-holding-pjsc-to-be-liquidated/78430544," href=""https://realty.economictimes.indiatimes.com/news/industry/dubais-arabtec-holding-pjsc-to-be-liquidated/78430544"" target=""_blank"">Dubai's Arabtec Holding PJSC to be liquidated</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETRealty.com</font",2020-10-01 13:55:21+00:00,ETRealty.com
Raleigh real estate developer accused of fraud faces more federal charges - Triangle Business Journal,https://www.bizjournals.com/triangle/news/2020/09/11/raleigh-real-estate-developer-accused-of-fraud.html," href=""https://www.bizjournals.com/triangle/news/2020/09/11/raleigh-real-estate-developer-accused-of-fraud.html"" target=""_blank"">Raleigh real estate developer accused of fraud faces more federal charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Triangle Business Journal</font",2020-09-11 07:00:00+00:00,Triangle Business Journal
Q&A: electricity generation and transmission in Ghana - Lexology,https://www.lexology.com/library/detail.aspx?g=47b12dbe-7a95-46d0-8f8d-c91dd1275069," href=""https://www.lexology.com/library/detail.aspx?g=47b12dbe-7a95-46d0-8f8d-c91dd1275069"" target=""_blank"">Q&A: electricity generation and transmission in Ghana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lexology</font",2020-09-30 07:00:00+00:00,Lexology
"US industrial production fell 0.6% in September, weakest showing since spring - Yahoo Finance",https://finance.yahoo.com/news/us-industrial-production-fell-0-132002515.html," href=""https://finance.yahoo.com/news/us-industrial-production-fell-0-132002515.html"" target=""_blank"">US industrial production fell 0.6% in September, weakest showing since spring</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font",2020-10-16 13:20:00+00:00,Yahoo Finance
